,product_name,reviews,rating
0,19 Crimes Red Blend 2020,"Hard to fault this wine at its price. Vanilla and oak hit you first followed by red fruit and a hint of pepper. There’s lots of jam and and black cherry in the palate. It’s a bit sweeter than I’d prefer, but it’s such an easy to drink wine at a price that makes it even easier to drink",4.2
1,19 Crimes Red Blend 2020,"A treasure for the price. Especially with a club card.

Can get a bit too Jammy by the second bottle or the third bottle of the week. 
But it’s a dark fruit, Jammy bold and sumptuous sub tenner bottle.",4.5
2,19 Crimes Red Blend 2020,"Lovely bouquet, first off vanilla balanced by slightly ripened plums and blackberries with a hint of chocolate and a smooth but not too sweet finish. Brilliant. 4.3",4.0
3,19 Crimes Red Blend 2020,"Awesome red blend! Well balanced, complex, fruity (red berries) with mild oak tones, medium to full bodied. Paired well with a great dinner which included an Italian Brasato (braised meat)",4.0
4,19 Crimes Red Blend 2020,"Another wine from 19 crimes what I tasted. Again so good. Bold but not of full tannins in. Not very acidic. Perfectly balanced. Some mention of oak, cherry, raspberry. Just great. ",4.8
5,19 Crimes Red Blend 2020,"red wine from SouthEast Australia. Blend from Shiraz and Grenache. Full bodied, lots of fruit. Cherry, strawberry, vanilla, chocolate, herbs. Great price/ pleasure ratio!",3.9
6,19 Crimes Red Blend 2020,"Big vanilla flavour. 
off-dry, high acidity, medium tannin, medium alcohol, medium (+) body.
considering this is a MSG blend, it’s quite smooth.  I would think flavours from oak might be too much.",4.0
7,19 Crimes Red Blend 2020,"Dark ruby color
Spices, vanilla, cloves and a little bit tobacco in nose
Really explosion of taste - red fruits, cherries, sweetnes.
In my opinion it will ideally pairs with venison",4.0
8,19 Crimes Red Blend 2020,"4.0 for me. 19 crimes is so reliably good. This mix is quite good, blackberry, black cherry, vanilla, ruby smooth, soft tannins, buttery in general. A go to for the price.",4.0
9,19 Crimes Red Blend 2020,Juicy fruity and easy to drink. Medium body abs colour. Taste and aroma of  vanilla oak plum chocolate cherry blackberry raspberry red fruit blueberry strawberry dark fruit jam leather earthy,4.0
10,19 Crimes Red Blend 2020,"Truly impressed by this cabarnet Sauvignon. I wasn’t expecting such intense flavors - cherry, vanilla, cedar
Quite bold
Slightly dry
What is striking is the fruity aromas and aftertastes",4.0
11,19 Crimes Red Blend 2020,"Nice aroma of vanilla, plum, chocolate, hard candies with soft spicy peppery notes. In the mouth fruity, round and velvety with creamy smooth notes. Very good bland. My rate 4,2",4.0
12,19 Crimes Red Blend 2020,"What a full-bodied blend, dominated by 86% Syrah and 7% Merlot and Cab Sauv each. For me even slightly better than the Cali Red - little less residual sweetness and a bit more tannins.",4.7
13,19 Crimes Red Blend 2020,"I must be honest. I have been impressed with this series. For the price point, it is hard to do better. Nose if sweet red berries, vanilla. Taste of raspberries, light tannins. ",3.9
14,19 Crimes Red Blend 2020,"Medium purple color. 
Red fruity cherry nose.
Sweet cherries with fresh notes of red fruit and raspberry. Great balance with a sour sensation at the end.

Excellent quality/price.",3.9
15,19 Crimes Red Blend 2020,"Beautiful nose a lot of Grenache on the nose, pallet has a little sweetness an very easy drinking. Cherry, blackberry, mulberry, strawberry light but very enjoyable a must buy ",5.0
16,19 Crimes Red Blend 2020,"Lovely vanilla on the nose and really smooth silky palate. Black fruits and chocolate

The living wine label is really cool too - interesting story, dodgy accent!
4.1 14/8/21",4.0
17,19 Crimes Red Blend 2020,Brutish and abit manufactured on the sweet front. Chocolate but also abit of tartaric acid to it. Then astringent and not in a pleasant way. ,3.2
18,19 Crimes Red Blend 2020,"Surprisingly delicious, super fruity, velvety, and leathery. Dark red fruits and vanilla on the nose, nice long finish, with low to medium tannins.",4.1
19,19 Crimes Red Blend 2020,"Dark red color, rich and full of flavor: dark fruits, spices and soft tannins. Even though not my type, it’s flavor make it enjoyable.",3.5
20,19 Crimes Red Blend 2020,"Good weighty but smooth red. Acidic edge make the mouth water without displaying hard tannins. Chocolate, black cherry, vanilla. ",3.5
21,19 Crimes Red Blend 2020,"Dark red colour.
Nose of dark fruit, vanilla and eucalyptus.
Chocolate, plum, blueberry, vanilla and tobacco on the palate.
Finishing soft.",3.5
22,19 Crimes Red Blend 2020,"Very interesting blend from Australia. Aromas of red Fruits, butter, chocolate. Juicy, with soft tannins, spicy. Sweet finish.",3.5
23,19 Crimes Red Blend 2020,"Take 2.
It’s quite smooth and tastes fat in the mouth. It’s quite sweet and jammy. Almost like cough medicine.
Still not 4.3 for me though.",3.5
24,19 Crimes Red Blend 2020,"As usual. Predictable Australian red blend. Strong vanilla and black fruit. Nice balanced wine, which is good for its price. Well window dressed!  ",3.6
25,19 Crimes Red Blend 2020,"Full bodied, fruity, mid tannins, easy drinking, smooth and nice. Was a gift, but I understand also at a reasonable pricing point.",4.5
26,19 Crimes Red Blend 2020,Fruity red. Soft on the palate but with a soft vinegar tone that isn't unpleasant but a bit unusual. Quaffable and good with a strong cheese.,3.6
27,19 Crimes Red Blend 2020,"Straight forward Rhone blend from Australia. Lots of dark berries, oak, vanilla and chocolate. 
Great together with Aghan food.",3.5
28,19 Crimes Red Blend 2020,Very decent red wine for a barbecue. Fruit forward and fruit on the palate. Some dryness on the finish. Mild tannins. Great deal.,3.5
29,19 Crimes Red Blend 2020,Back to an old favourite 19 crimes. This 2020 has just a tad of mocha & vanilla with fruity bursts. On the cork is '16 Stealing a shroud from a grave' 13.5% 4⭐️,4.0
30,19 Crimes Red Blend 2020,"Lovely soft fruit noise, lots of brambles, value.  Super long smooth aftertaste.  Almost sweet initial taste but disappears very quickly.  Great value",5.0
31,19 Crimes Red Blend 2020,I’m still well new to reds but a couple of mates have been talking about this and rightly so it’s banging!,4.5
32,19 Crimes Red Blend 2020,"2020 vintage this time. Again a lovely crimson colour, with boysenberry, blueberry, and other berry fruits and vanilla aromas. To taste, there's blackberry and plum with chocolatey vanilla and cedar spice. It has a nice fruity finish too, with a nice mouthfeel.  ",4.0
33,19 Crimes Red Blend 2020,"Not the best red I have tasted, the label is more interesting than the quality within.  Rough tasting with excessive tannins.",4.0
34,19 Crimes Red Blend 2020,"The nose was vanilla, cherry and oak. The color was crimson red and had a hint of purple. The palate had a load of plum, cherry and prune. Medium bodied and medium acidity. Subtle but decent finish 4.1⭐️ .",4.0
35,19 Crimes Red Blend 2020, vanilla chocolate dark chocolate tobacco raspberry cranberry smoke leather,4.5
36,19 Crimes Red Blend 2020,"Really fruity, full of red cherry, and other sweetness I couldn’t place. Was overwhelming at first but aired and performed really well. Second day, indulged in the sun, after chilling it - a different experience but would highly recommend on a summer afternoon! ",4.0
37,19 Crimes Red Blend 2020,"their marketers are geniuses 🤪😎definitely a crowd pleaser(and I’m a part of that crowd) 😍 first you find yourself in a bakery surrounded by sweet vanilla, whipped cream, licorice Haribo candy, biscuits, cloves, cinnamon, molasses 🐽 on the 👅, reminded me of sweet light version of cognac 🤪cocktail cherry, dried plum and fig, Cuban cigar 😎 would be a lovely pair for something salty with a bit of sweetness- in my case foie gra😋 and even more enjoyable when taking the bath with vanilla essential oil😻",4.0
38,19 Crimes Red Blend 2020,"Wonderful red from South Eastern Australia! Rich and warm wooden nose, bright and splashing blackberries and strawberries in taste. Full bodied, late light citric acidity and soft tannins. Decently priced in Duty free shops.",4.0
39,19 Crimes Red Blend 2020,"Nose: plum, vanilla, oak
Taste: plum, apple, vanilla, oak, cream",4.2
40,19 Crimes Red Blend 2020,"on the nose: lots of black cherries, dark berries with some vanilla and oak
Taste: medium + body, smooth, with fine tannins, rich dark fruit notes, some vanilla and hints of chocolate.  medium finish.",3.9
41,19 Crimes Red Blend 2020,"3.75, not a bad wine just not a match for my palate. Forward notes of oak, vanilla, and strong red fruit, almost juicy with a jammy sweetness as it transitions to strong notes of plum. Finishes slightly dry and almost sweet. Preferred their pinot",4.0
42,19 Crimes Red Blend 2020,"If I had the feature of grading by 0.1 I would give it 3.9. it is too easy and too simple. It is also my style, so I go with the 4.0 🤪😜😋. One of better wines recently. chocolate vanilla oak plum cherry raspberry blueberry all coming together in a mix that gets sweet as it areates. Cheers 😚😚",4.0
43,19 Crimes Red Blend 2020,"This stuff is surprising smooth, full bodied and balanced. The mellow nose has chalk, plum, blueberry, rose, leather and cherry licorice. The ample palate is plush with vanilla, coffee, chocolate, blackberry jelly, chalk again, sassafras bark and cassis.
I like this!",4.0
44,19 Crimes Red Blend 2020,"👁 medium ruby 
👃🏼 spicy 🌶🔥 blackberry, black cherry, blueberry, plum, black pepper, jamminess, eucalyptus, vanilla, cloves, cedar, tobacco, leather. 
👄 dry, high acidity, medium (+) tannins, medium alcohol, full body. 
🍷 can drink now, but has potential for ageing. 
💫 very good red blend from 🗺 South Eastern Australia. Great value for money 💰. I really suggest to try. 
🍇 Shiraz 86%, Merlot 7%, Cabernet 7%",4.0
45,19 Crimes Red Blend 2020,"Peppery nose typical of Shiraz. Palate is rich in dark fruit flavors, definitely sweeter than average red wine. It has kind of ruby port feel with less sugar and alcohol.

Blackcurrant jam, black cherries, chocolate, vanilla, black pepper. Acidity and tannins are mild. Overall smooth and round, quite a crowd pleaser.",4.0
46,19 Crimes Red Blend 2020,"So very very good, and Great value, smpoth fuity, not overly heavy alcohol content. It works for dinner woth friends or for a house red. And the value is exceptional. I see it has gone up by £2 and now is stilk worth it. You can spend a lot more and still not get thisnquality. It is similar to The Guv'nir but withour as much alcohol content and heaviness that i like (more a malbec than a rioja). Itnis smooth smooth snooth. So good",5.0
47,19 Crimes Red Blend 2020," Smooth very black currant and plum notes with light spice of nutmeg, cinnamon and slight vanilla. Delicious with spinach and ricotta cannelloni ",4.0
48,19 Crimes Red Blend 2020,"A lighter version of Rhone Blend from Australia
It has a bright ruby red color with med to med + body
Nose is fruity, metallic and spicy
Red fruit, forest berries, stainless steel, muscat and cotton candy are sensible 
Palate has high acidity, round tannins and a juicy taste profile of red fruits and similar berries
Aftertaste is long and still juicy
Still in between 4 and 4.5 stars
4.2/5⭐️",4.0
49,19 Crimes Red Blend 2020,"Red Blend 2020 🇦🇺 

Un “Cote du Rhone” australiano, hecho de las uvas GSM. Muy delicioso, notas afrutadas, chocolate, humo y cuero. En boca se siente denso, casi lechoso, dulzor ligeramente elevado, final con notas a chocolate.

An Australian “Cote du Rhone”, made with GSM grapes. Very delicious, fruity, chocolate, smoke and leather aromas. Bold, almost milky on the palate, the sweetness is a little bit high, nice finish with chocolate hints.",3.9
50,20 Aldeas 2018,"Nice body, attractive hint of plum and leather. Tannin remains longer in mouth than other wines. Would have tasted better with a food paired. oak plum leather tobacco",4.0
51,20 Aldeas 2018,oak blackberry black cherry plum ,4.5
52,20 Aldeas 2018,"Dry, medium full body, high gripping tannin, blackberries, oak, licorice, smoke, tobacco. ",3.8
53,20 Aldeas 2018,"Good acidity at first, very good balance after 30 minutes. Great price.",4.5
54,20 Aldeas 2018,oak blackberry vanilla plum black cherry ,4.5
55,20 Aldeas 2018,"Considering the price point, WOW this is smooth soft perfect for daily.",4.5
56,20 Aldeas 2018,Neuheitendegu 20/20 by MP,4.5
57,20 Aldeas 2018,tobacco cherry plum leather ,4.0
58,20 Aldeas 2018,"Very Nice great taste and lovely colour, Spain at its best",4.0
59,20 Aldeas 2018,Heavy very dark colour full body. Nice,4.0
60,20 Aldeas 2018,"Very good, herbal nose. Heavy",4.5
61,20 Aldeas 2018,"Vanilla & oak 
It's dry but a little bit sweet.
19900won in wine&more (good price as a daily wine)",4.0
62,20 Aldeas 2018,"Vineyards locate above 800m of altitude, wine aged for 12 months in US oak barrels. Deep ruby colour, purple hue. Medium intensity aroma of blackberries, tobacco, liquorice, blackcurrants, toasted cedar, smoked meat, coffee hints. Full body, dense and silky attack with flashy oak spices and black fruit freshness, medium tannins of good grip and rounded texture.",3.5
63,20 Aldeas 2018,"3.6 Gave it another chance, but decanted for almost 2 hours. Still full of oak influence with dominant coconut, vanilla and cedar. But now there are notes of boiled plum, spices, black currant and tobacco. Heavy to the point that it lacks balance. Maybe just not my style.",3.5
64,20 Aldeas 2018,"Look: Deep ruby. Very intense color. 

Smell: plum and oriental spices. 

Taste: aromatic, round and boarder line sweet with taste of dark fruit and anise, cardamom and cinnamon. And then an espresso poured on top. Loads of medium grained tannin. 

Easy drinkable but far from special. ",3.5
65,20 Aldeas 2018,"Dark bright red, some hints of purple. Medium body. Medium acidity. Well felt tanines. Aromaric, fruits and spices. I did not smell the barrels as many here did... just vaguely 

On the palate  - plum, blueberries, raspberries, strawberries, anise, licorice, pepper, leather, stone, than vaguely, oak, coffee. 

OK wine... but I prefer other styles.",3.7
66,20 Aldeas 2018,Plummy deep blackberry and oaky on the nose. On the palate to much oak slightly minerality but it's hard to feel and complexity. In the fijish little bit bitter for me. It's not bad to drink with spicy korean food but not my style. After 1 days it's opened oaky touch is almost going down and acidity and fruit flavor coming up more than yesterday. ,3.5
67,20 Aldeas 2018,"Bold red wine from Ribera del Duero of 100% bio Tempranillo grape variety. Dark red colour with purple color reflections. Intense aroma of black fruit, such as blackberry followed by notes of oak and vanilla due to ageing. On the palate a balance of fruit and wood with intense acidity and persistent tannins that get smooth when well paired. Medium lasting aftertaste with a herbal ending of mint / eucalyptus. ",3.0
68,20 Aldeas 2018,"88
The well-balanced red wine from Spain between ripe fruity character like blueberry, plum, blackberry and oak touch like coffee, chocolate, cedar and vanilla.
Medium + body and volume, rouded tannin with bright acidity.
Nice QPR.",3.5
69,20 Aldeas 2018,"100% Tempranillo aged 12 months in American oak. Dark purple red appearance. Intense ripe plummy nose over boisè hints of cedar and balsamic notes of menthol. The sip delivers the typical Castilla richness, medium plus bodied, fresh and savory with alive tannins and lots of fruitness. It’s overall agile textured and quite vertical. 

Gersauer käsekuchen",3.7
70,20 Aldeas 2018,Delicious wine and very complex. Dry with vanilla and oak.  One of my favorites and the best I’ve had in a long time,4.5
71,20 Aldeas 2018,Medium body with thick consistency blackberry and berries on the nose and oak and berries on the palate,3.5
72,20 Aldeas 2018,"Plum, blackberry, tobacco, powerful. Black berries, young, high tannins, long aftertaste. Keep. 
89/100",3.5
73,20 Aldeas 2018,exelllent wine.lovely tempranillo,4.5
74,20 Aldeas 2018,"Very oaky and blackberry 

Nt699",4.5
75,20 Aldeas 2018,"My 444th scan. And we have a real winner here. Freshness, eucalyptus, red cherry, pink pepper and vanilla. Perfectly integrated acidity, not jammy at all. Absolutely outstanding given the price.",5.0
76,20 Aldeas 2018,"Was something wrong with this small bottle @[1|4177809|Raf De Leu] gave me? Diffuse color, old musty smells. On the palate an old dry taste almost no support by fruit anymore. Bad luck.",2.7
77,20 Aldeas 2018,"Young, opens up after a couple of hours, should develop nicely over the next 3-5 years",3.5
78,20 Aldeas 2018,I like this. Like a heavier pinot. Lght but strong. Berries and dark chocolate.,3.5
79,20 Aldeas 2018,3.7 had at grand tasting - no notes,3.5
80,20 Aldeas 2018,very good smell. but low taste,3.5
81,20 Aldeas 2018,"Plum, chocolate, minerality with some tannin.",3.0
82,20 Aldeas 2018,"soso
 oak vanilla leather ",3.5
83,20 Aldeas 2018,"Liked it better earlier, maybe a bottlevariation. Still a good tempranillo 100%.",3.5
84,20 Aldeas 2018,"Great nose, yes excellent nose. The rest is not so convincing. Notes of tobacco & blackberry. ",3.0
85,20 Aldeas 2018,"17800 won / dry m body m+ tanin m++ acidity m / remain sugary, plum, black cherry, spicy like cedar",3.0
86,20 Aldeas 2018,Underwhelming for the price. Unbalanced with cooked acidity,3.4
87,20 Aldeas 2018,"oak, vanilla, black fruits, smooth velvet ",4.0
88,20 Aldeas 2018,oak blackberry plum vanilla coffee ,3.7
89,20 Aldeas 2018,"oak and plum note. 

somewhat plain but good tarnin
but nice daily wine. 

",3.7
90,20 Aldeas 2018, cranberry vanilla tobacco dark fruit,3.5
